San Jose Earthquakes,Kashia,Guram,D,$,"549,999.96",$,"549,999.96"
Chicago Fire,Katai,Aleksandar,M,$,"1,200,000.00",$,"1,320,333.33"
LAFC,Kaye,Mark-Anthony,M,$,"69,999.96",$,"74,999.96"
Seattle Sounders FC,Kee-Hee,Kim,D,$,"500,004.00",$,"632,004.00"
"",Keita,Muhamed,F,$,"324,999.96",$,"367,291.71"
DC United,Kelly,Dane,F,$,"67,500.00",$,"69,500.00"
DC United,Kemp,Taylor,D,$,"140,000.00",$,"140,000.00"
Columbus Crew,Kempin,Jonathan,GK,$,"80,256.00",$,"80,256.00"
Columbus Crew,Ketterer,Logan,GK,$,"67,500.00",$,"67,500.00"
LA Galaxy,Kitchen,Perry,D-M,$,"450,000.00",$,"474,166.67"
Orlando City SC,Kljestan,Sacha,M,$,"1,025,000.04",$,"1,100,000.04"
New England Revolution,Knighton,Brad,GK,$,"105,955.56",$,"110,955.56"
"",Konopka,Chris,GK,$,"67,500.00",$,"67,500.00"
LAFC,Kovar,Aaron,M,$,"69,457.50",$,"69,657.50"
Atlanta United,Kratz,Kevin,M,$,"165,000.00",$,"179,250.00"
Real Salt Lake,Kreilach,Damir,M,$,"900,000.00",$,"1,013,333.33"
Montreal Impact,Krolicki,Ken,M,$,"54,500.04",$,"54,500.04"
Atlanta United,Kunga,Lagos,M-F,$,"54,500.04",$,"58,500.04"
New York Red Bulls,Kutler,Ethan,D,$,"54,500.04",$,"54,500.04"
Sporting Kansas City,Kuzain,Wan,M,$,"67,500.00",$,"67,500.00"
New York Red Bulls,Lade,Connor,D,$,"114,000.00",$,"120,749.85"
FC Dallas,Lamah,Roland,M,$,"675,000.00",$,"818,500.00"
Minnesota United,Lampson,Matt,GK,$,"100,000.08",$,"107,500.08"
Portland Timbers,Langsdorf,Foster,F,$,"54,500.04",$,"54,500.04"
Atlanta United,Larentowicz,Jeff,M,$,"210,000.00",$,"210,000.00"
Orlando City SC,Laryea,Richie,M,$,"135,000.00",$,"164,000.00"
LA Galaxy,Lassiter,Ariel,F,$,"67,500.00",$,"67,500.00"
New York Red Bulls,Lawrence,Kemar,D,$,"150,000.00",$,"255,600.00"
